Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SG,Gary Harris,4000,Den@OKC 07:00PM ET,7.182,Den
PG,Raul Neto,4000,Uta@Por 09:00PM ET,0,Uta
C,Joffrey Lauvergne,4000,Den@OKC 07:00PM ET,9.802,Den
PG,Delon Wright,4000,Cle@Tor 06:00PM ET,0,Tor
PF,Christian Wood,4000,Phi@Bkn 01:00PM ET,0,Phi
PG,Cameron Payne,4000,Den@OKC 07:00PM ET,0,OKC
SF,Bruno Caboclo,4000,Cle@Tor 06:00PM ET,1.688,Tor
C,Nikola Jokic,4000,Den@OKC 07:00PM ET,0,Den
C,Walter Tavares,4000,Mia@Atl 07:00PM ET,0,Atl
SF,Damjan Rudez,4000,Min@Mem 06:00PM ET,7.563,Min
PG,Tyus Jones,4000,Min@Mem 06:00PM ET,0,Min
PF,Trey Lyles,4000,Uta@Por 09:00PM ET,0,Uta
SF,Luis Montero,4000,Uta@Por 09:00PM ET,0,Por
SF,Axel Toupane,4000,Cle@Tor 06:00PM ET,0,Tor
